iron-man,1
iron-man-2,0.987276
iron-man-3,0.882585
the-losers,0.803966
thor,0.67406
tron-legacy,0.533027
g-force,0.469883
eagle-eye,0.461324
avengers-age-of-ultron,0.41235
rise-of-the-guardians,0.403621
captain-america-civil-war,0.402427
big-hero-6,0.347944
the-circle-2017,0.338023
scarface,0.331606
silicon-cowboys,0.329767
hoop-dreams,0.299239
watchers-of-the-sky,0.297833
johnny-english-reborn,0.282911
ant-man,0.281617
ra-one,0.275703
monkey-kingdom,0.272405
the-last-airbender,0.268995
ghost-in-the-shell,0.26833
fast-five,0.267432
young-adult,0.264333
an-inconvenient-sequel-truth-to-power,0.264264
elvis-nixon,0.264264
aon-flux,0.264264
the-muppets,0.255726
the-brothers-grimsby,0.254576
the-book-of-eli,0.245516
end-of-days,0.245516
jack-ryan-shadow-recruit,0.244557
indiana-jones-and-the-kingdom-of-the-crystal-skull,0.237394
doogal,0.227056
the-three-burials-of-melquiades-estrada,0.219089
duplicity,0.217074
step-up-2-the-streets,0.210252
nightcrawler,0.210243
taken-2,0.210243
where-in-the-world-is-osama-bin-laden,0.210207
neighbors-2-sorority-rising,0.199264
phantom-boy,0.198905
the-amazing-spider-man,0.197961
inherent-vice,0.197224
x-men-apocalypse,0.197114
the-glamorous-life-of-sachiko-hanai,0.192961
the-missing,0.188936
monster-trucks,0.186813
max-steel,0.185925
